hash,datetime,from,to,value_token,direction
0x78fa38adaeeb0eaa9d53fce7d655f0004f531fd8f2608983ce9fa31e742c5196,2026-06-29 16:10:59+00:00,0xc77e32c07bc9c40333f2d9776ce5150ccb1482c9,0x9642b23ed1e01df1092b92641051881a322f5d4e,161819.08,deposit_to_exchange
0x7038c45af3533b00a8c00c5e1f8fdd7e3622fa20d2682f7f95108b3301350edd,2026-06-29 15:50:35+00:00,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,0x5501bdc3fd3c95d8e35661b951d90e30f8550d7d,159987.06,withdrawal_from_exchange
0x5144fb541a98ec8e7372e4e65de2465f430b6012183fa1b930f60b160cab159f,2026-06-18 20:38:47+00:00,0x703c43ebe8370c051e8c652c987f2a5b78eeac5e,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,111587.77,deposit_to_exchange
0xf376350d0dcfca72c39b85550ff0f664352567894dc93c8701c33ff8e14b380b,2026-06-10 14:58:47+00:00,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,0xb9632a75b6b235e598d6fad13472c7f9bbdd87cf,100000.62,withdrawal_from_exchange
0x07a8099a0f54e845626389b1494ab39f9ea35b8921ab455658422826014ddd27,2026-06-05 07:32:59+00:00,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,0x731fb25009000de8dce8f9259262ebe58ff6590c,102700.0,withdrawal_from_exchange
0xcb253f07338c9293e4e94e33addc60ce891091e06321c4cec0e3163c46a6dfc4,2026-06-04 08:21:59+00:00,0xf335788b2251dec93332310d96d15500cdc4c34b,0xc5d3d8fbad6480f1234e7511a735f5718f2231bd,378970.8127967707,withdrawal_from_exchange
0x456f36c838409999c216a9cbbbde55a987cb2c9e465b2a80cc0ef56efc1eb06b,2026-05-26 08:50:11+00:00,0xb9e3deaa15ef93ea7068518573aaa0ebfc5b7a91,0x74de5d4fcbf63e00296fd95d33236b9794016631,100000.0,deposit_to_exchange
0x164f2dee653a26e3d9bf391ecb835756e4394b4885432e00667af968e1eabf51,2026-05-26 08:45:59+00:00,0xb9e3deaa15ef93ea7068518573aaa0ebfc5b7a91,0x74de5d4fcbf63e00296fd95d33236b9794016631,100000.0,deposit_to_exchange
0x745925ad41e924391bb46af18068e0b3624f885c4287a76046126f0f6c6f1120,2026-05-26 08:15:11+00:00,0xb9e3deaa15ef93ea7068518573aaa0ebfc5b7a91,0x74de5d4fcbf63e00296fd95d33236b9794016631,100000.0,deposit_to_exchange
0x436cb6b7c683fe0570a0afae071fa41b31c9dd7d263c8b41686680bfa866df37,2026-05-11 06:39:23+00:00,0x2b0302d0da80b7d206a5a07262ec3dfe0b3567cb,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,178742.0,deposit_to_exchange
0x7c3f8dcbe1078f24cc28f72e726c33c2471ca37a78ec7f5e923386a468d6722e,2026-05-11 06:34:47+00:00,0x0d9a1ca7bc756ae009672db626cde3c9bef583ef,0xb9632a75b6b235e598d6fad13472c7f9bbdd87cf,178742.0,withdrawal_from_exchange
0x2a15cbde606a0bc4aca690d7ae22505faf4d7ae0bedd7a660d53fe487d1ee872,2026-05-01 19:34:47+00:00,0xc593fe9193b745447e86b45ea0bf62565ee030cc,0x2f76b6259f56cc5091f5531d8c359d0212886cdd,113179.47256177317,withdrawal_from_exchange
